f_Hz,omega_rad_s,ReZ_ohm,ImZ_ohm,absZ_ohm,phase_deg,I_amp_A,V_rms_V,I_rms_A,S_VA,P_W,Q_var,pf
10.0,62.83185307179586,50.0,-15915.481742818922,15915.560282503488,-89.82000045005174,6.283159262067159e-05,0.7071067811865475,4.442864521482752e-05,3.141579631033579e-05,9.869522578125366e-08,-3.1415641280497776e-05,0.0031415796310336704
10.038462995594314,63.07352320058417,50.0,-15854.500487724023,15854.579329494722,-89.81930812134414,6.307325973257908e-05,0.7071067811865475,4.4599529668447073e-05,3.1536629866289535e-05,9.945590233233244e-08,-3.153647304070061e-05,0.0031536629866288877
10.077073931391636,63.316122865082356,50.0,-15793.75288573138,15793.832030750114,-89.81861312977325,6.331585634525113e-05,0.7071067811865475,4.4771071378360364e-05,3.165792817262556e-05,1.0022244161830879e-07,-3.165776953048517e-05,0.003165792817262457
10.115833376414304,63.55965564056322,50.0,-15733.238041583161,15733.317491016302,-89.8179154650974,6.355938603355575e-05,0.7071067811865475,4.494327287238081e-05,3.177969301677787e-05,1.0099488882405753e-07,-3.177953253704453e-05,0.0031779693016775828
10.154741901873281,63.80412511605109,50.0,-15672.955063451776,15673.034818470183,-89.81721511703547,6.380385238610784e-05,0.7071067811865475,4.511613668804233e-05,3.190192619305391e-05,1.0177328948270918e-07,-3.190176385444239e-05,0.0031901926193054933
10.193800081176596,64.04953489437486,50.0,-15612.903062926704,15612.983124705734,-89.81651207526687,6.404925900532206e-05,0.7071067811865475,4.528966537263677e-05,3.202462950266102e-05,1.0255768947827074e-07,-3.202446528363956e-05,0.0032024629502661046
10.233008489937756,64.29588859222088,50.0,-15553.081155001431,15553.161524720967,-89.81580632943125,6.429560950746576e-05,0.7071067811865475,4.5463861483251294e-05,3.214780475373287e-05,1.0334813504840785e-07,-3.21476386325203e-05,0.003214780475373127
10.27236770598426,64.54318984018637,50.0,-15493.488458060405,15493.569136904865,-89.81509786912846,6.454290752271229e-05,0.7071067811865475,4.5638727586806084e-05,3.2271453761356136e-05,1.0414467278713489e-07,-3.227128571591899e-05,0.003227145376135619
10.311878309366104,64.79144228283297,50.0,-15434.124093866012,15434.205083024372,-89.81438668391834,6.479115669519454e-05,0.7071067811865475,4.5814266260092234e-05,3.239557834759726e-05,1.0494734964752518e-07,-3.239540835564686e-05,0.0032395578347595385
10.35154088236433,65.04064957874036,50.0,-15374.987187545668,15375.068488211477,-89.81367276332058,6.504036068305841e-05,0.7071067811865475,4.599048008980951e-05,3.25201803415292e-05,1.0575621294455598e-07,-3.252000838051869e-05,0.003252018034152851
10.391356009499598,65.29081540056016,50.0,-15316.076867578919,15316.15848095031,-89.81295609681456,6.529052315851683e-05,0.7071067811865475,4.6167371672604566e-05,3.2645261579258406e-05,1.0657131035781748e-07,-3.264508762637977e-05,0.0032645261579257482
10.43132427754083,65.54194343507025,50.0,-15257.392265784565,15257.474193064283,-89.81223667383922,6.554164780790377e-05,0.7071067811865475,4.634494361510917e-05,3.277082390395188e-05,1.0739268993437917e-07,-3.2770647936132915e-05,0.0032770823903950897
10.47144627551382,65.79403738322884,50.0,-15198.932517307909,15199.01475970333,-89.81151448379285,6.579373833172849e-05,0.7071067811865475,4.65231985339785e-05,3.289686916586424e-05,1.0822040009159814e-07,-3.289669115976549e-05,0.0032896869165863997
10.511722594709939,66.04710096022916,50.0,-15140.696760607998,15140.779319331137,-89.81078951603301,6.604679844473001e-05,0.7071067811865475,4.670213905592971e-05,3.3023399222365004e-05,1.0905448961997071e-07,-3.3023219154376686e-05,0.0033023399222365294
10.552153828694836,66.3011378955542,50.0,-15082.684137444907,15082.767013712444,-89.81006175987632,6.630083187593188e-05,0.7071067811865475,4.6881767817780636e-05,3.3150415937965933e-05,1.0989500768601294e-07,-3.315023378420477e-05,0.003315041593796544
10.592740573317196,66.55615193303167,50.0,-15024.893792867111,15024.976987900402,-89.80933120459828,6.655584236869707e-05,0.7071067811865475,4.7062087466488626e-05,3.327792118434853e-05,1.1074200383517043e-07,-3.327773692065461e-05,0.0033277921184348283
10.633483426717511,66.8121468308891,50.0,-14967.324875198889,14967.408390223989,-89.80859783943319,6.681183368078292e-05,0.7071067811865475,4.7243100659189366e-05,3.340591684039145e-05,1.1159552799470551e-07,-3.340573044232502e-05,0.0033405916840388637
10.674382989336914,67.06912636180941,50.0,-14909.97653602774,14910.060372275417,-89.80786165357391,6.706880958439677e-05,0.7071067811865475,4.742481006323626e-05,3.353440479219838e-05,1.1245563047670345e-07,-3.353421623503659e-05,0.0033534404792198882
10.715439863926003,67.32709431298629,50.0,-14852.847930191918,14852.932088897678,-89.80712263617181,6.73267738662512e-05,0.7071067811865475,4.7607218356239455e-05,3.3663386933125595e-05,1.1332236198092202e-07,-3.366319619185924e-05,0.00336633869331223
10.756654655553733,67.5860544861801,50.0,-14795.938215767963,14796.022698172063,-89.80638077633643,6.75857303276199e-05,0.7071067811865475,4.779032822610533e-05,3.379286516380994e-05,1.1419577359794677e-07,-3.3792672213140116e-05,0.0033792865163810777
10.798027971616346,67.84601069777402,50.0,-14739.246554058274,14739.331361405737,-89.80563606313554,6.784568278439375e-05,0.7071067811865475,4.7974142371076224e-05,3.3922841392196873e-05,1.1507591681200377e-07,-3.392264620653164e-05,0.0033922841392193697
10.839560421846295,68.10696677883,50.0,-14682.772109578804,14682.857243119446,-89.80488848559476,6.810663506713663e-05,0.7071067811865475,4.8158663499769824e-05,3.405331753356831e-05,1.1596284350420539e-07,-3.40531200870193e-05,0.0034053317533568987
